date,open,high,low,close,volume,amount
2024-02-16,272.400,278.600,267.200,278.600,17215356,4948591616.000
2024-02-19,278.200,278.200,270.600,271.600,15415304,4415094272.000
2024-02-20,273.800,274.600,267.200,271.000,15773028,4459365120.000
2024-02-21,267.600,281.400,267.600,275.600,23947218,6932698624.000
2024-02-22,275.000,278.200,273.600,278.200,12441270,3603265888.000
2024-02-23,276.800,283.200,273.800,277.600,13229798,3842413520.000
2024-02-26,274.200,277.000,272.200,274.000,12412426,3559023840.000
2024-02-27,273.000,273.000,265.000,271.400,23612599,6662498560.000
2024-02-28,271.800,272.600,263.200,263.800,25903478,7245008384.000
2024-02-29,262.000,265.800,261.400,264.000,29721885,8231584512.000
2024-03-01,259.800,265.800,258.600,264.200,27952651,7713358080.000
2024-03-04,264.200,266.800,261.600,263.000,13832089,3823469216.000
2024-03-05,257.000,260.000,253.000,255.000,26055083,7021429248.000
2024-03-06,252.800,263.800,252.600,261.400,23289346,6357883392.000
2024-03-07,261.600,262.400,256.000,257.800,17159729,4665844736.000
2024-03-08,258.800,262.400,256.800,256.800,12416156,3380545328.000
2024-03-11,258.000,265.400,258.000,265.400,17866889,4936584704.000
2024-03-12,268.800,279.400,267.000,277.600,36531141,10506831872.000
2024-03-13,278.200,280.800,275.400,277.400,20074418,5850784512.000
2024-03-14,276.200,280.800,273.600,276.000,14227432,4114240448.000
2024-03-15,269.800,273.000,266.400,270.600,29183023,8265577728.000
2024-03-18,269.000,278.200,269.000,276.600,19633305,5654374656.000
2024-03-19,275.800,278.000,271.800,271.800,15635351,4493812224.000
2024-03-20,272.200,277.000,269.800,275.600,15622235,4499879168.000
2024-03-21,282.000,285.000,276.400,278.000,36868686,10838694400.000
2024-03-22,274.200,277.200,269.200,275.600,26432205,7578583808.000
2024-03-25,275.600,277.400,271.800,275.400,21127168,6091144960.000
2024-03-26,272.800,287.400,272.800,286.200,33998571,10047178496.000
2024-03-27,282.800,294.400,282.600,288.800,38753084,11767791360.000
2024-03-28,288.800,296.400,288.200,290.600,30000843,9153818112.000
2024-04-02,295.800,299.200,294.600,296.000,26561604,8219109376.000
2024-04-03,298.800,298.800,293.200,295.200,19696947,6080044288.000
2024-04-05,296.400,298.400,291.200,296.800,13582369,4191612736.000
2024-04-08,292.000,297.800,291.200,292.200,21656541,6642553856.000
2024-04-09,294.200,295.600,289.800,291.800,17879375,5461280512.000
2024-04-10,293.200,302.000,293.200,301.000,24730145,7718210048.000
2024-04-11,296.600,303.400,295.800,301.800,18834968,5912379648.000
2024-04-12,300.800,304.800,296.200,296.400,23031342,7201400832.000
2024-04-15,291.400,295.600,290.600,291.200,18295291,5593339136.000
2024-04-16,288.000,295.200,286.800,288.600,19691636,5979714048.000
2024-04-17,288.600,290.800,284.600,287.600,14410544,4332377088.000
2024-04-18,289.000,295.600,285.400,291.200,19058907,5817112832.000
2024-04-19,290.200,292.200,286.400,290.600,19472600,5891457536.000
2024-04-22,294.800,309.400,293.600,307.200,41133325,13065634048.000
2024-04-23,312.800,320.400,312.000,319.200,43821652,14443015936.000
2024-04-24,324.600,331.800,322.200,331.000,41472682,14131709440.000
2024-04-25,327.000,333.200,323.200,326.200,27727556,9447179520.000
2024-04-26,326.800,338.600,326.800,335.200,29599531,10298055680.000
2024-04-29,335.200,341.600,332.000,334.400,25416523,8909313792.000
2024-04-30,336.400,337.600,330.800,334.000,15957023,5549476352.000
2024-05-02,335.800,348.000,332.200,347.200,22479610,8048229632.000
2024-05-03,357.800,359.400,347.400,351.200,23592345,8612647936.000
2024-05-06,351.400,359.800,349.800,357.000,26208326,9662184960.000
2024-05-07,354.200,358.000,350.200,352.600,19408056,7119649536.000
2024-05-08,353.200,358.600,346.600,348.200,20058148,7307654400.000
2024-05-09,347.800,356.800,347.200,356.600,16026030,5882164736.000
